"Scenario","Metric","CleanMetric","Type","Variance","MeanDelta","AbsMeanDelta","N"
"Good","delta_whitened_r2","whitened_r2","R-squared",3376.04295419022,5.85336631113516,8.96284652418495,80
"Good","delta_mse","mse","Error",0.118157654719379,-0.0568221391984137,0.282217144795872,80
"Good","delta_rmse","rmse","Error",0.0306771838145315,-0.0289101875628163,0.143103563159293,80
"Good","delta_mae","mae","Error",0.0372487384996324,-0.016010415625743,0.153037057231409,80
"Good","delta_median_ae","median_ae","Error",0.072305092105287,0.00100453418309952,0.20450946945348,80
"Good","delta_whitened_rmse","whitened_rmse","Error",0.546710647776893,0.0130993422613344,0.616329227041175,80
"Good","delta_whitened_mae","whitened_mae","Error",0.267348892015843,0.0267221792081997,0.422948613990165,80
"Good","delta_see","see","Error",0.0296909087234578,0.0125123138459293,0.135944026993531,80
"Good","delta_percent_see","percent_see","Error",260.79062122293,0.349843909565113,5.74939909791334,80
"Good","delta_R_whole","R_whole","Error",0.0569762597634634,0.00736354129616026,0.0940210682388768,80
"Good","delta_R_ari","R_ari","Error",1.65044344441569,0.0269506747009966,0.512711168015317,80
"Good","delta_R_median","R_median","Error",0.00302237423872646,-0.00706564505569812,0.0382275882625555,80
"Good","delta_mape","mape","Percentage Error",1.21087952099894,-0.297552224484314,0.99578157286157,80
"Good","delta_smape","smape","Percentage Error",0.777266426612967,-0.169940545697811,0.762873312259541,80
"Good","delta_cn_smape","cn_smape","Percentage Error",0.0172499107653959,-0.00407296848376173,0.097907880367379,80
"UC1","delta_whitened_r2","whitened_r2","R-squared",19.7043814508908,0.0647867951259279,1.1621326219263,80
"UC1","delta_mse","mse","Error",3.0379746835443,-1,2,80
"UC1","delta_rmse","rmse","Error",3.0379746835443,-1,2,80
"UC1","delta_mae","mae","Error",3.0379746835443,-1,2,80
"UC1","delta_median_ae","median_ae","Error",3.99286987522282,0.352941176470588,2,34
"UC1","delta_whitened_rmse","whitened_rmse","Error",3.0379746835443,-1,2,80
"UC1","delta_whitened_mae","whitened_mae","Error",3.0379746835443,-1,2,80
"UC1","delta_see","see","Error",3.0379746835443,-1,2,80
"UC1","delta_percent_see","percent_see","Error",3.0379746835443,-1,2,80
"UC1","delta_R_whole","R_whole","Error",1070.00452307987,-3.2144879894912,5.72226142779165,80
"UC1","delta_R_ari","R_ari","Error",13.3409820183575,0.792689610528522,1.77930509893503,80
"UC1","delta_R_median","R_median","Error",18.4155636535853,1.0881698215484,1.73766332205996,80
"UC1","delta_mape","mape","Percentage Error",3.0379746835443,-1,2,80
"UC1","delta_smape","smape","Percentage Error",3.0379746835443,-1,2,80
"UC1","delta_cn_smape","cn_smape","Percentage Error",0.576307020150672,-0.036594498818062,0.534322577378497,80
"UC2_st","delta_whitened_r2","whitened_r2","R-squared",49.8928763242473,-0.929041773958035,2.52604871439547,80
"UC2_st","delta_mse","mse","Error",1.21521212118812,-0.186954767886056,0.947716541492955,80
"UC2_st","delta_rmse","rmse","Error",0.484868299777263,-0.133904308794853,0.571175665214889,80
"UC2_st","delta_mae","mae","Error",0.569167195952423,-0.0460091257552459,0.625218409699839,80
"UC2_st","delta_median_ae","median_ae","Error",0.710497123101327,0.0638043135064341,0.705971821107742,80
"UC2_st","delta_whitened_rmse","whitened_rmse","Error",0.2170071021819,0.297600147353405,0.399598907195889,80
"UC2_st","delta_whitened_mae","whitened_mae","Error",0.195590397805774,0.27836380843778,0.36829687691704,80
"UC2_st","delta_see","see","Error",0.506867602682308,-0.100512126525211,0.583160907339359,80
"UC2_st","delta_percent_see","percent_see","Error",23.8910828080394,0.0590527693800729,2.87867315725282,80
"UC2_st","delta_R_whole","R_whole","Error",26.7941031856501,0.292997178163121,2.12208790711615,80
"UC2_st","delta_R_ari","R_ari","Error",147.805057658925,-2.12717582443236,4.34454550488238,80
"UC2_st","delta_R_median","R_median","Error",17.5690018146811,-0.235683892750795,1.88752108461307,80
"UC2_st","delta_mape","mape","Percentage Error",1.36622319452716,-0.283376150091674,1.03553956565673,80
"UC2_st","delta_smape","smape","Percentage Error",0.659672821246166,-0.0627436789915855,0.661915572227542,80
"UC2_st","delta_cn_smape","cn_smape","Percentage Error",0.662744391486991,-0.161795180829106,0.609815685845725,80
"UC2_wk","delta_whitened_r2","whitened_r2","R-squared",1.33318524547353,-0.151555442820547,0.996211449155881,80
"UC2_wk","delta_mse","mse","Error",0.130860151095622,-0.0379684377430953,0.264771113094992,80
"UC2_wk","delta_rmse","rmse","Error",0.040004289731411,-0.0222554788963659,0.137183916627153,80
"UC2_wk","delta_mae","mae","Error",0.0410543597701917,-0.0158881330022351,0.13987720937097,80
"UC2_wk","delta_median_ae","median_ae","Error",0.0720168750976381,-0.0203570674557208,0.193843412525777,80
"UC2_wk","delta_whitened_rmse","whitened_rmse","Error",0.536885430247255,0.0406562711333902,0.588365809054854,80
"UC2_wk","delta_whitened_mae","whitened_mae","Error",0.274227353766577,0.0485448572218457,0.408051076383316,80
"UC2_wk","delta_see","see","Error",0.0325279194619474,0.0178405228450124,0.134051972808152,80
"UC2_wk","delta_percent_see","percent_see","Error",438.055343203501,0.307515109177786,6.09523592958152,80
"UC2_wk","delta_R_whole","R_whole","Error",0.722136434323187,-0.00433276694541376,0.373235447586106,80
"UC2_wk","delta_R_ari","R_ari","Error",399.257849902565,2.53654289737897,4.18612057136644,80
"UC2_wk","delta_R_median","R_median","Error",0.248772626294287,-0.110684053168724,0.348741980538654,80
"UC2_wk","delta_mape","mape","Percentage Error",1.28600953684349,-0.313061220928001,1.03642421168366,80
"UC2_wk","delta_smape","smape","Percentage Error",0.458589887482635,-0.109491224683214,0.564049783017295,80
"UC2_wk","delta_cn_smape","cn_smape","Percentage Error",0.124160491665895,-0.0195849018709847,0.274391020194026,80
"UC3","delta_whitened_r2","whitened_r2","R-squared",20.1279253129323,-0.128773229252102,1.78091148044194,80
"UC3","delta_mse","mse","Error",2.9537542938988,-0.790854247943062,1.83014482780791,80
"UC3","delta_rmse","rmse","Error",2.69407069912481,-0.85380883483597,1.75675658594193,80
"UC3","delta_mae","mae","Error",2.96426869400824,-0.768950234923076,1.83104976507692,80
"UC3","delta_median_ae","median_ae","Error",3.76306620209059,0.571428571428571,2,42
"UC3","delta_whitened_rmse","whitened_rmse","Error",2.80362948916292,-0.810434625207168,1.78956537479283,80
"UC3","delta_whitened_mae","whitened_mae","Error",3.0706457946096,-0.736056988229649,1.86394301177035,80
