"Metric","Type","Variance","Rank","Dataset"
"R_median","Error",0.00302237423872646,1,"simulation_data_Good"
"cn_smape","Percentage Error",0.0172499107653959,2,"simulation_data_Good"
"see","Error",0.0296909087234578,3,"simulation_data_Good"
"rmse","Error",0.0306771838145315,4,"simulation_data_Good"
"mae","Error",0.0372487384996324,5,"simulation_data_Good"
"R_whole","Error",0.0569762597634634,6,"simulation_data_Good"
"median_ae","Error",0.072305092105287,7,"simulation_data_Good"
"mse","Error",0.118157654719379,8,"simulation_data_Good"
"whitened_mae","Error",0.267348892015843,9,"simulation_data_Good"
"whitened_rmse","Error",0.546710647776893,10,"simulation_data_Good"
"smape","Percentage Error",0.777266426612967,11,"simulation_data_Good"
"mape","Percentage Error",1.21087952099894,12,"simulation_data_Good"
"R_ari","Error",1.65044344441569,13,"simulation_data_Good"
"percent_see","Error",260.79062122293,14,"simulation_data_Good"
"whitened_r2","R-squared",3376.04295419022,15,"simulation_data_Good"
