"Metric","Type","Variance","Rank","Dataset"
"whitened_mae","Error",0.195590397805774,1,"simulation_data_UC2_st"
"whitened_rmse","Error",0.2170071021819,2,"simulation_data_UC2_st"
"rmse","Error",0.484868299777263,3,"simulation_data_UC2_st"
"see","Error",0.506867602682308,4,"simulation_data_UC2_st"
"mae","Error",0.569167195952423,5,"simulation_data_UC2_st"
"smape","Percentage Error",0.659672821246166,6,"simulation_data_UC2_st"
"cn_smape","Percentage Error",0.662744391486991,7,"simulation_data_UC2_st"
"median_ae","Error",0.710497123101327,8,"simulation_data_UC2_st"
"mse","Error",1.21521212118812,9,"simulation_data_UC2_st"
"mape","Percentage Error",1.36622319452716,10,"simulation_data_UC2_st"
"R_median","Error",17.5690018146811,11,"simulation_data_UC2_st"
"percent_see","Error",23.8910828080394,12,"simulation_data_UC2_st"
"R_whole","Error",26.7941031856501,13,"simulation_data_UC2_st"
"whitened_r2","R-squared",49.8928763242473,14,"simulation_data_UC2_st"
"R_ari","Error",147.805057658925,15,"simulation_data_UC2_st"
