"Metric","Type","Variance","Rank","Dataset"
"see","Error",0.0325279194619474,1,"simulation_data_UC2_wk"
"rmse","Error",0.040004289731411,2,"simulation_data_UC2_wk"
"mae","Error",0.0410543597701917,3,"simulation_data_UC2_wk"
"median_ae","Error",0.0720168750976381,4,"simulation_data_UC2_wk"
"cn_smape","Percentage Error",0.124160491665895,5,"simulation_data_UC2_wk"
"mse","Error",0.130860151095622,6,"simulation_data_UC2_wk"
"R_median","Error",0.248772626294287,7,"simulation_data_UC2_wk"
"whitened_mae","Error",0.274227353766577,8,"simulation_data_UC2_wk"
"smape","Percentage Error",0.458589887482635,9,"simulation_data_UC2_wk"
"whitened_rmse","Error",0.536885430247255,10,"simulation_data_UC2_wk"
"R_whole","Error",0.722136434323187,11,"simulation_data_UC2_wk"
"mape","Percentage Error",1.28600953684349,12,"simulation_data_UC2_wk"
"whitened_r2","R-squared",1.33318524547353,13,"simulation_data_UC2_wk"
"R_ari","Error",399.257849902565,14,"simulation_data_UC2_wk"
"percent_see","Error",438.055343203501,15,"simulation_data_UC2_wk"
