"Metric","Type","Variance","Rank","Dataset"
"whitened_mae","Error",0.128410523445922,1,"simulation_data_UC4"
"whitened_rmse","Error",0.290333616933783,2,"simulation_data_UC4"
"smape","Percentage Error",0.31542141935213,3,"simulation_data_UC4"
"see","Error",0.341451062508691,4,"simulation_data_UC4"
"rmse","Error",0.346448196145654,5,"simulation_data_UC4"
"mae","Error",0.410578961551126,6,"simulation_data_UC4"
"median_ae","Error",0.519284706893609,7,"simulation_data_UC4"
"cn_smape","Percentage Error",0.804838131445957,8,"simulation_data_UC4"
"mse","Error",0.927155600841238,9,"simulation_data_UC4"
"mape","Percentage Error",1.12493299682334,10,"simulation_data_UC4"
"whitened_r2","R-squared",1.84954614017469,11,"simulation_data_UC4"
"R_ari","Error",145.71886802098,12,"simulation_data_UC4"
"R_median","Error",325.413581332194,13,"simulation_data_UC4"
"R_whole","Error",538.441113034097,14,"simulation_data_UC4"
"percent_see","Error",1539.2243982585,15,"simulation_data_UC4"
