"Scenario","Metric","CleanMetric","Type","Variance","MeanDelta","AbsMeanDelta","N"
"Good","delta_ols_r2","ols_r2","R-squared",5.24416162639838e-05,-0.00199617203247117,0.00571768208513144,200
"Good","delta_adjusted_r2","adjusted_r2","R-squared",5.65625315491003e-05,-0.0024238696976633,0.00599391219331502,200
"Good","delta_mse","mse","Error",0.0928038179930108,-0.0206701792711228,0.24657405706342,200
"Good","delta_rmse","rmse","Error",0.0240178715479381,-0.010603956099524,0.124720112467161,200
"Good","delta_weighted_rmse","weighted_rmse","Error",0.0481509749779546,-0.121732817878348,0.201095122987726,200
"Good","delta_mae","mae","Error",0.0277328155330021,-0.00577848502742272,0.1341748863571,200
"Good","delta_median_ae","median_ae","Error",0.0662685381325568,-0.0119637121311854,0.205369340200549,200
"Good","delta_see","see","Error",0.0243172733148374,0.0198694659578879,0.125551354244894,200
"Good","delta_percent_see","percent_see","Error",3682492.89593145,135.203226850264,139.859179021123,200
"Good","delta_R_whole","R_whole","Error",0.370602963585499,-0.0378316189115268,0.216253800715359,200
"Good","delta_R_ari","R_ari","Error",43.880805305306,0.345685044445387,1.68179278409714,200
"Good","delta_R_geo","R_geo","Error",0.010630515097552,0.00133898719123887,0.0795376527736288,200
"Good","delta_R_median","R_median","Error",0.0014369927045024,-0.000963493553077529,0.0289708877304665,200
"Good","delta_pearson_corr","pearson_corr","Correlation",1.31108022155754e-05,-0.000998104229481907,0.00285886544393592,200
"Good","delta_spearman_corr","spearman_corr","Correlation",7.80913988001687e-05,-0.00584923278196462,0.00749631766422194,200
"Good","delta_mape","mape","Percentage Error",0.55373030891225,-0.151716331996973,0.614857906337309,200
"Good","delta_smape","smape","Percentage Error",0.186238334673427,-0.0537144483243748,0.342149937957725,200
"Good","delta_cn_smape","cn_smape","Percentage Error",0.0040408816146191,-1.6505086570223e-05,0.0481568094570676,200
"UC1","delta_ols_r2","ols_r2","R-squared",0.108117174981554,0.481323673911435,0.481323673911435,200
"UC1","delta_adjusted_r2","adjusted_r2","R-squared",0.112465426591672,0.490265439526731,0.490265439526731,200
"UC1","delta_mse","mse","Error",3.01507537688442,-1,2,200
"UC1","delta_rmse","rmse","Error",3.01507537688442,-1,2,200
"UC1","delta_weighted_rmse","weighted_rmse","Error",3.02522714583016,-0.994974874371859,2,199
"UC1","delta_mae","mae","Error",3.01507537688442,-1,2,200
"UC1","delta_median_ae","median_ae","Error",0.313725490196078,1.92156862745098,2,51
"UC1","delta_see","see","Error",3.01507537688442,-1,2,200
"UC1","delta_percent_see","percent_see","Error",3.01507537688442,-1,2,200
"UC1","delta_R_whole","R_whole","Error",101.058585916044,0.0933333747104882,4.23814196592314,200
"UC1","delta_R_ari","R_ari","Error",59.3257027236931,-1.40603156564377,3.08131756176612,200
"UC1","delta_R_geo","R_geo","Error",0.486403115923245,-0.0758637111921621,0.542425671455403,200
"UC1","delta_R_median","R_median","Error",1.61781633184159,-0.609405459339123,0.616432294508977,200
"UC1","delta_pearson_corr","pearson_corr","Correlation",0.0304804247129554,0.249698130612068,0.249698130612068,200
"UC1","delta_spearman_corr","spearman_corr","Correlation",0.0396310030511979,0.277661070841267,0.277661070841267,200
"UC1","delta_mape","mape","Percentage Error",3.01507537688442,-1,2,200
"UC1","delta_smape","smape","Percentage Error",3.01507537688442,-1,2,200
"UC1","delta_cn_smape","cn_smape","Percentage Error",0.574810255085821,-0.0959628027593052,0.595559583364119,200
"UC2_st","delta_ols_r2","ols_r2","R-squared",0.244184380197593,-0.0558091212245273,0.35354272761323,200
"UC2_st","delta_adjusted_r2","adjusted_r2","R-squared",0.29344672322611,-0.0936400754275054,0.383011048012023,200
"UC2_st","delta_mse","mse","Error",0.194291650535958,-0.0520805319164113,0.352456926037973,200
"UC2_st","delta_rmse","rmse","Error",0.0524409270059343,-0.0266744576705407,0.180888411304471,200
"UC2_st","delta_weighted_rmse","weighted_rmse","Error",0.0593762225503505,-0.153393909626832,0.230241655753749,200
"UC2_st","delta_mae","mae","Error",0.0637029036888959,-0.0183995890373828,0.198557252800864,200
"UC2_st","delta_median_ae","median_ae","Error",0.120509450665867,-0.00505080572919221,0.266756013975673,200
"UC2_st","delta_see","see","Error",0.0522719389849196,0.003588213734428,0.179030986169228,200
"UC2_st","delta_percent_see","percent_see","Error",2098.1451774086,-3.68937317600804,8.04016474335207,200
"UC2_st","delta_R_whole","R_whole","Error",872.512456472359,2.70374366110472,5.76328546648554,200
"UC2_st","delta_R_ari","R_ari","Error",602.949181659852,-2.32536709557613,6.58896163839595,200
"UC2_st","delta_R_geo","R_geo","Error",0.121375044944985,-0.00292059317426113,0.277050621052109,200
"UC2_st","delta_R_median","R_median","Error",0.313255062624994,-0.0558180326270852,0.409351569766597,200
"UC2_st","delta_pearson_corr","pearson_corr","Correlation",0.134197593416342,-0.0490396897722998,0.20109065318229,200
"UC2_st","delta_spearman_corr","spearman_corr","Correlation",0.137689110057891,-0.0649377353600354,0.228381093588458,200
"UC2_st","delta_mape","mape","Percentage Error",0.620240873150975,-0.175315764732253,0.670477932911388,200
"UC2_st","delta_smape","smape","Percentage Error",0.0627705864790728,-0.0207155401014858,0.200173398758788,200
"UC2_st","delta_cn_smape","cn_smape","Percentage Error",0.0577225989786654,-0.00949245809665689,0.191901444442806,200
"UC2_wk","delta_ols_r2","ols_r2","R-squared",0.182461516749148,-0.121422035990016,0.323902283234849,200
"UC2_wk","delta_adjusted_r2","adjusted_r2","R-squared",0.23503156748728,-0.167791286899335,0.360330773521414,200
"UC2_wk","delta_mse","mse","Error",0.119801592088406,-0.0328929099138532,0.279868086867364,200
"UC2_wk","delta_rmse","rmse","Error",0.0313870502075758,-0.0170612485962578,0.142106664377111,200
"UC2_wk","delta_weighted_rmse","weighted_rmse","Error",0.0576794906606812,-0.124303128910866,0.215246157490921,200
"UC2_wk","delta_mae","mae","Error",0.0351005017750841,-0.0107432672820804,0.149648836116954,200
"UC2_wk","delta_median_ae","median_ae","Error",0.0778647734087824,-0.0118208308180417,0.221473713879637,200
"UC2_wk","delta_see","see","Error",0.0312389717123205,0.0133472214127732,0.140455667778196,200
"UC2_wk","delta_percent_see","percent_see","Error",69.2518317530685,-0.918549524680256,4.29147473249586,200
"UC2_wk","delta_R_whole","R_whole","Error",86.4516658285872,0.813836985170139,2.82964832907957,200
"UC2_wk","delta_R_ari","R_ari","Error",45.1431737708899,0.0434732274745615,3.09997570132768,200
"UC2_wk","delta_R_geo","R_geo","Error",0.103449154046324,0.00609866729028384,0.25464330664636,200
"UC2_wk","delta_R_median","R_median","Error",0.232148552869919,-0.0565560855368529,0.330327345563581,200
"UC2_wk","delta_pearson_corr","pearson_corr","Correlation",0.0570049661818059,-0.0674027413845023,0.169752449838971,200
"UC2_wk","delta_spearman_corr","spearman_corr","Correlation",0.0650363698476656,-0.078964075454455,0.187147045204928,200
