"Metric","Type","Num_Datasets","Avg_Rank","Min_Rank","Max_Rank","Std_Rank","Stability_Score"
"rmse","Error",6,4.16666666666667,1,7,2.78687399547713,0.264070048592679
"cn_smape","Percentage Error",6,4.33333333333333,2,7,1.75119007154183,0.363479066875077
"pearson_corr","Correlation",6,4.33333333333333,1,14,5.12510162500869,0.163262597295858
"see","Error",6,5.16666666666667,2,8,2.78687399547713,0.264070048592679
"spearman_corr","Correlation",6,6.66666666666667,2,15,4.5018514709691,0.181756996763102
"R_geo","Error",6,7,4,9,2,0.333333333333333
"median_ae","Error",6,7.16666666666667,1,11,3.65604522218567,0.214774546268383
"mae","Error",6,7.33333333333333,4,11,2.73252020425589,0.267915495503489
"ols_r2","R-squared",6,7.33333333333333,2,11,3.8815804341359,0.204851689630514
"smape","Percentage Error",6,7.33333333333333,1,12,4.63321342770508,0.177518571386242
"adjusted_r2","R-squared",6,8.5,3,12,4.03732584763727,0.198518029257338
"mse","Error",6,10,6,12,2.0976176963403,0.322828734217736
"mape","Percentage Error",6,12.3333333333333,9,13,1.63299316185545,0.379795897113271
"R_whole","Error",6,14.3333333333333,13,16,1.03279555898864,0.491933384829668
"R_ari","Error",6,14.8333333333333,12,16,1.60208197875972,0.384307646016844
"percent_see","Error",6,15.1666666666667,14,16,0.752772652709081,0.570524647594428
