"Metric","Type","Variance","Rank","Dataset"
"smape","Percentage Error",0.0156384447194488,1,"simulation_data_Bad"
"rmse","Error",0.0640329199209759,2,"simulation_data_Bad"
"see","Error",0.064455870614177,3,"simulation_data_Bad"
"mae","Error",0.0707392232736192,4,"simulation_data_Bad"
"weighted_rmse","Error",0.0771373447696815,5,"simulation_data_Bad"
"median_ae","Error",0.113059184316822,6,"simulation_data_Bad"
"cn_smape","Percentage Error",0.14213577322515,7,"simulation_data_Bad"
"mape","Percentage Error",0.200173088492222,8,"simulation_data_Bad"
"mse","Error",0.235924403786012,9,"simulation_data_Bad"
"R_geo","Error",0.244389253284408,10,"simulation_data_Bad"
"ols_r2","R-squared",1.95200997707499,11,"simulation_data_Bad"
"adjusted_r2","R-squared",88.2719002507239,12,"simulation_data_Bad"
"spearman_corr","Correlation",98.778460888578,13,"simulation_data_Bad"
"R_ari","Error",225.161483483315,14,"simulation_data_Bad"
"R_median","Error",1292.40050228223,15,"simulation_data_Bad"
"R_whole","Error",1855.64379935957,16,"simulation_data_Bad"
"percent_see","Error",10000.433551094,17,"simulation_data_Bad"
"pearson_corr","Correlation",116941.984474723,18,"simulation_data_Bad"
