"Metric","Type","Variance","Rank","Dataset"
"pearson_corr","Correlation",1.31108022155754e-05,1,"simulation_data_Good"
"ols_r2","R-squared",5.24416162639838e-05,2,"simulation_data_Good"
"adjusted_r2","R-squared",5.65625315491003e-05,3,"simulation_data_Good"
"spearman_corr","Correlation",7.80913988001687e-05,4,"simulation_data_Good"
"R_median","Error",0.0014369927045024,5,"simulation_data_Good"
"cn_smape","Percentage Error",0.0040408816146191,6,"simulation_data_Good"
"R_geo","Error",0.010630515097552,7,"simulation_data_Good"
"rmse","Error",0.0240178715479381,8,"simulation_data_Good"
"see","Error",0.0243172733148374,9,"simulation_data_Good"
"mae","Error",0.0277328155330021,10,"simulation_data_Good"
"weighted_rmse","Error",0.0481509749779546,11,"simulation_data_Good"
"median_ae","Error",0.0662685381325568,12,"simulation_data_Good"
"mse","Error",0.0928038179930108,13,"simulation_data_Good"
"smape","Percentage Error",0.186238334673427,14,"simulation_data_Good"
"R_whole","Error",0.370602963585499,15,"simulation_data_Good"
"mape","Percentage Error",0.55373030891225,16,"simulation_data_Good"
"R_ari","Error",43.880805305306,17,"simulation_data_Good"
"percent_see","Error",3682492.89593145,18,"simulation_data_Good"
