"Metric","Type","Variance","Rank","Dataset"
"see","Error",0.0522719389849196,1,"simulation_data_UC2_st"
"rmse","Error",0.0524409270059343,2,"simulation_data_UC2_st"
"cn_smape","Percentage Error",0.0577225989786654,3,"simulation_data_UC2_st"
"weighted_rmse","Error",0.0593762225503505,4,"simulation_data_UC2_st"
"smape","Percentage Error",0.0627705864790728,5,"simulation_data_UC2_st"
"mae","Error",0.0637029036888959,6,"simulation_data_UC2_st"
"median_ae","Error",0.120509450665867,7,"simulation_data_UC2_st"
"R_geo","Error",0.121375044944985,8,"simulation_data_UC2_st"
"pearson_corr","Correlation",0.134197593416342,9,"simulation_data_UC2_st"
"spearman_corr","Correlation",0.137689110057891,10,"simulation_data_UC2_st"
"mse","Error",0.194291650535958,11,"simulation_data_UC2_st"
"ols_r2","R-squared",0.244184380197593,12,"simulation_data_UC2_st"
"adjusted_r2","R-squared",0.29344672322611,13,"simulation_data_UC2_st"
"R_median","Error",0.313255062624994,14,"simulation_data_UC2_st"
"mape","Percentage Error",0.620240873150975,15,"simulation_data_UC2_st"
"R_ari","Error",602.949181659852,16,"simulation_data_UC2_st"
"R_whole","Error",872.512456472359,17,"simulation_data_UC2_st"
"percent_see","Error",2098.1451774086,18,"simulation_data_UC2_st"
