"Metric","Type","Variance","Rank","Dataset"
"see","Error",0.0312389717123205,1,"simulation_data_UC2_wk"
"rmse","Error",0.0313870502075758,2,"simulation_data_UC2_wk"
"mae","Error",0.0351005017750841,3,"simulation_data_UC2_wk"
"cn_smape","Percentage Error",0.0405080640704006,4,"simulation_data_UC2_wk"
"smape","Percentage Error",0.0415584331788246,5,"simulation_data_UC2_wk"
"pearson_corr","Correlation",0.0570049661818059,6,"simulation_data_UC2_wk"
"weighted_rmse","Error",0.0576794906606812,7,"simulation_data_UC2_wk"
"spearman_corr","Correlation",0.0650363698476656,8,"simulation_data_UC2_wk"
"median_ae","Error",0.0778647734087824,9,"simulation_data_UC2_wk"
"R_geo","Error",0.103449154046324,10,"simulation_data_UC2_wk"
"mse","Error",0.119801592088406,11,"simulation_data_UC2_wk"
"ols_r2","R-squared",0.182461516749148,12,"simulation_data_UC2_wk"
"R_median","Error",0.232148552869919,13,"simulation_data_UC2_wk"
"adjusted_r2","R-squared",0.23503156748728,14,"simulation_data_UC2_wk"
"mape","Percentage Error",0.566041847954267,15,"simulation_data_UC2_wk"
"R_ari","Error",45.1431737708899,16,"simulation_data_UC2_wk"
"percent_see","Error",69.2518317530685,17,"simulation_data_UC2_wk"
"R_whole","Error",86.4516658285872,18,"simulation_data_UC2_wk"
