"Metric","Type","Variance","Rank","Dataset"
"pearson_corr","Correlation",0.0025374499774247,1,"simulation_data_UC3"
"spearman_corr","Correlation",0.00436355967562516,2,"simulation_data_UC3"
"ols_r2","R-squared",0.010091987486073,3,"simulation_data_UC3"
"adjusted_r2","R-squared",0.011293978839284,4,"simulation_data_UC3"
"cn_smape","Percentage Error",0.0189144171129186,5,"simulation_data_UC3"
"R_median","Error",0.0212115337746259,6,"simulation_data_UC3"
"R_geo","Error",0.0372814077716441,7,"simulation_data_UC3"
"rmse","Error",0.106434954336405,8,"simulation_data_UC3"
"see","Error",0.1094296134109,9,"simulation_data_UC3"
"weighted_rmse","Error",0.123935169810231,10,"simulation_data_UC3"
"mae","Error",0.136884816867315,11,"simulation_data_UC3"
"smape","Percentage Error",0.14418605478933,12,"simulation_data_UC3"
"median_ae","Error",0.243800152815452,13,"simulation_data_UC3"
"mse","Error",0.352367880189079,14,"simulation_data_UC3"
"mape","Percentage Error",0.664791404544075,15,"simulation_data_UC3"
"R_whole","Error",40.894581944403,16,"simulation_data_UC3"
"percent_see","Error",74.4763858968118,17,"simulation_data_UC3"
"R_ari","Error",3153.00329673191,18,"simulation_data_UC3"
