"","species","FG","SO"
"22","Plestiodon_fasciatus",0.49,0.13
"21","Carlia_fusca",0.54,0.07
"20","Aspidoscelis_tigris",0.76,0.03
"19","Acanthodactylus_scutellatus",0.6,0.15
"18","Elgaria_kingii",0.43,0.16
"17","Laudakia_stellio",0.37,0.17
"16","Gambelia_wislizenii",0.58,0.04
"15","Crotaphytus_collaris",0.58,0.06
"1","Callisaurus_draconoides",0.7,0.01
"2","Cophosaurus_texanus",0.65,0.03
"3","Holbrookia_maculata",0.65,0.03
"4","Uma_notata",0.64,0.11
"6","Phrynosoma_cornutum",0.25,0.08
"8","Phrynosoma_platyrhinos",0.23,0.06
"7","Phrynosoma_mcallii",0.31,0.13
"5","Phrynosoma_modestum",0.3,0.06
"14","Uta_stansburiana",0.48,0.07
"13","Urosaurus_ornatus",0.45,0.14
"9","Sceloporus_graciosus",0.49,0.11
"10","Sceloporus_magister",0.41,0.17
"12","Sceloporus_virgatus",0.44,0.11
"11","Sceloporus_undulatus",0.43,0.15
