"","genome","log_GS","log_PS"
"3","amphimedon",5.11799381241676,-2.99573227355399
"28","nematostel",5.87773578177964,-3.59356927430961
"43","trichoplax",4.66343909411207,-5.11599580975408
"38","strongyloc",6.84268328223842,-4.80362112471193
"34","schistosom",5.89989735358249,-4.21990778519745
"20","helobdella",5.45958551414416,-3.35240721749272
"12","capitella",5.80814248998044,-3.91202300542815
"29","octopus",7.75705114203201,0.371563556432483
"25","lottia",5.88610403145016,-4.3428059215206
"13","crassostre",6.32435896238131,-5.24004845842406
"23","lingula",6.05208916892442,-4.60517018598809
"40","tetranychu",4.51085950651685,-4.60517018598809
"33","sarcoptes",4.02535169073515,-4.38202663467388
"21","ixodes",7.4759059693674,-3.50655789731998
"36","stegodyphu",7.91534816926308,-0.430782916092454
"37","strigamia",5.17048399503815,-2.16282315061889
"22","lepeophthe",6.54391184556479,-2.52572864430826
"16","daphnia",5.28320372873799,-2.30258509299405
"31","pediculus",4.70953020131233,-2.99573227355399
"44","zootermops",6.18414889093748,0.717839793150317
"27","nasonia",5.69035945432406,-4.26869794936688
"6","atta",5.76205138278018,1.01160091167848
"35","solenopsis",5.8636311755981,-0.105360515657826
"5","apis",5.52146091786225,0.641853886172395
"8","bombus",5.51745289646471,0.78845736036427
"41","tribolium",5.43372200355424,-2.83021783507642
"17","dendrocton",5.31811999384422,-2.30258509299405
"15","danaus",5.60947179518496,-2.12026353620009
"19","heliconius",5.38449506278909,-1.89711998488588
"9","bombyx",6.1779441140506,-2.04022082852655
"7","belgica",4.49980967033027,-2.99573227355399
"2","aedes",7.23273313617761,-2.78385191451849
"14","culex",6.36302810354046,-2.61455985801487
"4","gambiae",5.60947179518496,-3.04702556794154
"18","melanogast",4.969813299576,-2.97592964625781
"26","lucilia",6.07304453410041,-2.04022082852655
"1","acyrthosip",6.29526600143965,-2.65926003693278
"32","rhodnius",6.55535689181067,-1.38629436111989
"42","trichinell",4.15888308335967,-4.50986000618377
"10","brugia",4.43081679884331,-3.73806969830471
"24","loa",4.51085950651685,-3.59356927430961
"30","onchocerca",4.56434819146784,-3.54045944899566
"39","strongyloi",3.76120011569356,-5.7138328105097
"11","elegans",4.60517018598809,-5.29831736654804
