Species,Actual OGT (°„C),Predicted OGT (°„C)
Acetivibrio_straminisolvens_na,50,50.46 
Acetobacter_senegalensis_strain_108B,35,28.91 
Acetomicrobium_flavidum_na,55,59.19 
Acetomicrobium_hydrogeniformans_na,55,60.17 
Acholeplasma_brassicae_strain_O502,30,31.44 
Aciditerrimonas_ferrireducens_MV1,50,49.74 
Acidithiobacillus_thiooxidans_ATCC_19377_strain_ATCC_19377,29,37.40 
Acinetobacter_oleivorans_DR1_strain_DR1,30,28.16 
Actinobacillus_lignieresii_strain_NCTC10568,37,30.50 
Actinophytocola_algeriensis_CECT_8960,15,24.82 
Actinoplanes_ianthinogenes_strain_NBRC_13996,32.5,26.03 
Aeromicrobium_alkaliterrae_JCM_13518,19.5,29.56 
Aeromonas_media_strain_Colony414,22,22.62 
Agrococcus_jejuensis_strain_DSM_22002,30,26.04 
Alicyclobacillus_acidoterrestris_DSM_3922,50,40.04 
Alicyclobacillus_ferrooxydans_strain_ALEF1,28,35.52 
Alicyclobacillus_hesperidum_DSM_12766,50,55.92 
Alicyclobacillus_sendaiensis_AL05G,50,57.69 
Aliivibrio_sifiae_ATCC_33715,17.5,17.80 
Alteromonas_pelagimontana_strain_512,35,24.19 
Ammonifex_thiophilus_SR,75,67.64 
Amphiplicatus_metriothermophilus_DSM_105738,50,31.89 
Anaerolinea_thermophila_na,55,55.13 
Aneurinibacillus_thermoaerophilus_CCM_8960,55,47.14 
Anoxybacillus_caldiproteolyticus_strain_U458,60,53.91 
Anoxybacillus_suryakundensis_DSM_27374,55,54.32 
Arboricoccus_pini_B29T1,15,25.54 
Arenimonas_caeni_z29,10,29.27 
Arthrobacter_alpinus_strain_A3,22.5,21.45 
Azospirillum_humicireducens_strain_SgZ5,30,29.10 
Bacillus_beveridgei_strain_MLTeJB,37,29.10 
Bacillus_coagulans_DSM_1___ATCC_7050_strain_ATCC_7050,48.5,35.91 
Bacillus_glycinifermentans_,33.5,35.21 
Bacillus_haynesii_strain_P19,37,32.66 
Bacillus_luti_strain_FJ,30,29.23 
Bacillus_methanolicus_MGA3_strain_MGA3,55,45.87 
Bacillus_pacificus_strain_Colony501,30,39.23 
Bacillus_siamensis_strain_B28,37,29.97 
Bacillus_sonorensis_SRCM101395,15,32.50 
Balnearium_lithotrophicum_DSM_16304,72.5,69.62 
Bizionia_saleffrena_HFD,12.5,16.17 
Brachybacterium_saurashtrense_strain_DSM_23186,30,24.99 
Bradyrhizobium_erythrophlei_strain_GAS138,28,24.40 
Brevundimonas_naejangsanensis_strain_B1,30,27.06 
Brucella_pinnipedialis_strain_23a1,37,31.12 
Brumimicrobium_glaciale_IC156,10,20.29 
Burkholderia_plantarii_strain_ATCC_43733,33.5,28.74 
Caenibacillus_caldisaponilyticus_B157,55,47.50 
Caldalkalibacillus_thermarum_CGMCC_1.4242,60,56.26 
Caldicellulosiruptor_bescii_DSM_6725_strain_DSM_6725,79,75.32 
Caldicellulosiruptor_kristjanssonii_I77R1B_strain_177R1B,78,70.75 
Caldicellulosiruptor_kronotskyensis_2002_strain_2002,70,73.13 
Caldicellulosiruptor_lactoaceticus_6A_strain_6A,68,72.03 
Caldicoprobacter_guelmensis_DSM_24605,65,65.09 
Campylobacter_lanienae_,37,40.14 
