"OGT group abbrevations: E:Eukaryotes,BM:Bacterial mesophilic, THP:Thermophilic, and AM:Archaea mesophilic",,,,,,,,,,
species,Observed OGT group,Predicted_probability of OGT group,,,,Predicted OGT group,Methods,Obseved Species Kingdom,Observed OGT,Observed OGT group
,,AM,BM,E,THP,PC,,,,
Absidia repens,E,0.002501079,0.000333176,0.996598811,0.000566935,E,RLR,Eukaryota,24,Mesophiles
Achromobacter spanius,BM,0.022821198,0.75053535,0.00588347,0.220759981,BM,RLR,Bacteria,37,Mesophiles
Acidianus brierleyi,THP,0.495152192,0.013425723,0.000528951,0.490893134,AM,RLR,Archaea,72,Hyperthermophiles
Acidilobus saccharovorans 345-15,THP,0.186268876,0.006941669,0.000176483,0.806612971,THP,RLR,Archaea,80,Hyperthermophiles
Acremonium chrysogenum ATCC 11550,E,0.03438179,0.000876455,0.82787566,0.136866095,E,RLR,Eukaryota,22,Mesophiles
Actinotignum urinale,BM,0.000420645,0.705200052,8.07E-05,0.29429862,BM,RLR,Bacteria,37,Mesophiles
Alicyclobacillus herbarius DSM 13609,THP,0.001820901,0.062069105,0.000555772,0.935554222,THP,RLR,Bacteria,55,Thermophiles
Alicyclobacillus mali NBRC 102425,THP,0.002336335,0.385804342,0.003565842,0.608293481,THP,RLR,Bacteria,50,Thermophiles
Alternaria alternata,E,0.008646531,0.000107227,0.990827551,0.000418692,E,RLR,Eukaryota,26,Mesophiles
Amycolatopsis mediterranei RB,BM,0.000545069,0.758611589,3.57E-05,0.240807637,BM,RLR,Bacteria,28,Mesophiles
Amycolatopsis roodepoortensis,BM,0.000551018,0.757272757,3.59E-05,0.24214032,BM,RLR,Bacteria,28,Mesophiles
Anaerolinea thermolimosa,THP,0.000659002,0.733227575,0.000116822,0.265996601,BM,RLR,Bacteria,50,Thermophiles
Anoxybacillus tepidamans,THP,0.00988419,0.044313203,0.007229585,0.938573023,THP,RLR,Bacteria,53,Thermophiles
Anoxybacillus vitaminiphilus,THP,0.025208527,0.088343725,0.01440309,0.872044658,THP,RLR,Bacteria,55,Thermophiles
Archaeoglobus veneficus SNP6,THP,0.051467189,0.008010415,0.005061075,0.935461321,THP,RLR,Archaea,75,Hyperthermophiles
Ardenticatena maritima,THP,0.001221982,0.218145282,4.44E-05,0.780588361,THP,RLR,Bacteria,65,Hyperthermophiles
Aspergillus ellipticus CBS 707.79,E,0.000750849,0.000128247,0.999012915,0.000107989,E,RLR,Eukaryota,24,Mesophiles
Aspergillus ibericus CBS 121593,E,0.000354171,0.000131889,0.99944615,6.78E-05,E,RLR,Eukaryota,25,Mesophiles
Aspergillus japonicus CBS 114.51,E,0.000348268,0.000115843,0.999473201,6.27E-05,E,RLR,Eukaryota,25,Mesophiles
Aspergillus lentulus,E,0.013304953,0.004176579,0.939199303,0.043319164,E,RLR,Eukaryota,25,Mesophiles
Aspergillus thermomutatus,E,0.004743483,5.80E-06,0.994952828,0.000297889,E,RLR,Eukaryota,25,Mesophiles
Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896,BM,0.001197447,0.753852524,0.000307053,0.244642976,BM,RLR,Bacteria,17,Mesophiles
Bacillus thuringiensis serovar berliner ATCC 10792,BM,0.024505829,0.187564588,0.044931503,0.742998079,THP,RLR,Bacteria,30,Mesophiles
Bacillus toyonensis,BM,0.033519275,0.531289142,0.111204645,0.323986938,BM,RLR,Bacteria,30,Mesophiles
Bartonella alsatica,BM,0.000926959,0.75850793,0.000407645,0.240157465,BM,RLR,Bacteria,37,Mesophiles
Bartonella ancashensis,BM,0.001135478,0.797018365,0.000424459,0.201421697,BM,RLR,Bacteria,30,Mesophiles
Bartonella bovis 91-4,BM,0.012078434,0.798481425,0.007224974,0.182215167,BM,RLR,Bacteria,37,Mesophiles
Beauveria brongniartii RCEF 3172,E,0.005135875,3.78E-06,0.994718959,0.000141386,E,RLR,Eukaryota,25,Mesophiles
Bifiguratus adelaidae,E,0.079077755,0.001242124,0.915128231,0.00455189,E,RLR,Eukaryota,25,Mesophiles
Bradyrhizobium erythrophlei,BM,0.000770324,0.892444866,0.000301093,0.106483717,BM,RLR,Bacteria,28,Mesophiles
Bradyrhizobium guangxiense,BM,0.000794089,0.888166111,0.000292931,0.110746868,BM,RLR,Bacteria,28,Mesophiles
Brevibacillus brevis,BM,0.004502187,0.781900702,0.020751579,0.192845531,BM,RLR,Bacteria,30,Mesophiles
Brockia lithotrophica,THP,0.000738196,0.034847932,0.000280281,0.964133591,THP,RLR,Bacteria,63,Hyperthermophiles
Burkholderia gladioli,BM,0.010785697,0.875220873,0.003672133,0.110321298,BM,RLR,Bacteria,30,Mesophiles
Burkholderia lata,BM,0.038084706,0.796096109,0.008097559,0.157721627,BM,RLR,Bacteria,29,Mesophiles
Burkholderia metallica,BM,0.038092596,0.792736888,0.007868273,0.161302243,BM,RLR,Bacteria,28,Mesophiles
