"species","predicted_OGT","OGT"
"Acidilobus_saccharovorans",81.274216,80
"Acidiplasma_aeolicum",45.33297,40
"Acidiplasma_cupricumulans",45.779694,55
"Aciduliprofundum_boonei",70.86908,70
"Aeropyrum_camini",87.32805,85
"Aeropyrum_pernix",87.02527,90.75
"Archaeoglobus_fulgidus",81.372955,81.5
"Archaeoglobus_profundus",83.12706,85
"Archaeoglobus_sulfaticallidus",77.29749,75
"Archaeoglobus_veneficus",80.39649,75
"Caldisphaera_lagunensis",76.99147,75
"Caldivirga_maquilingensis",86.23455,83
"Desulfurococcus_fermentans",82.17125,80
"Desulfurococcus_kamchatkensis",82.6739,82
"Desulfurococcus_mucosus",82.2415,86.5
"Ferroglobus_placidus",84.044075,85
"Fervidicoccus_fontis",82.53892,80
"Geoglobus_acetivorans",80.87312,80
"Haladaptatus_paucihalophilus",36.908237,30
"Halalkalicoccus_jeotgali",39.05226,37
"Halarchaeum_acidiphilum",38.317707,37
"Haloarcula_argentinensis",40.730137,37
"Haloarcula_hispanica",40.170643,37
"Haloarcula_japonica",39.89785,37
"Haloarcula_marismortui",40.03425,37
"Haloarcula_vallismortis",39.998894,37
"Halobacterium_salinarum",37.57385,36.42857143
"Halococcus_morrhuae",37.629112,37
"Halococcus_saccharolyticus",37.537125,36
"Halococcus_salifodinae",38.061466,37
"Haloferax_denitrificans",37.05827,37
"Haloferax_gibbonsii",36.813976,37
"Haloferax_lucentense",37.05827,37
"Haloferax_mediterranei",37.05827,36
"Haloferax_prahovense",36.933693,37
"Haloferax_sulfurifontis",36.938553,37
"Haloferax_volcanii",36.74379,33.5
"Halogeometricum_borinquense",38.269188,37
"Halomicrobium_mukohataei",40.148266,37
"Halopiger_xanaduensis",38.65628,37
"Haloquadratum_walsbyi",39.6494,37
"Halorhabdus_tiamatea",41.47811,45
"Halorhabdus_utahensis",40.796864,37
"Halorubrum_aidingense",39.5062,37
"Halorubrum_arcis",39.54536,37
"Halorubrum_hochstenium",39.42083,37
"Halorubrum_lacusprofundi",39.693684,30
"Halorubrum_lipolyticum",39.61529,37
"Halorubrum_litoreum",39.620483,37
"Halorubrum_saccharovorum",39.620483,37
"Halorubrum_tebenquichense",39.620483,40
"Halosimplex_carlsbadense",39.65641,40
"Halostagnicola_larsenii",37.321003,37
"Haloterrigena_thermotolerans",38.495052,37
"Haloterrigena_turkmenica",38.43226,37
"Halovivax_ruber",37.379547,37
"Hyperthermus_butylicus",87.13582,99.75
"Ignicoccus_hospitalis",87.73643,90
"Ignicoccus_islandicus",86.14514,90
"Ignisphaera_aggregans",85.11623,92
"Metallosphaera_sedula",66.93952,65
"Methanobacterium_congolense",47.696373,37
"Methanobacterium_formicicum",56.60739,36.83333333
"Methanobacterium_lacus",56.13994,30
"Methanobrevibacter_curvatus",44.06157,30
"Methanobrevibacter_cuticularis",44.88061,37
"Methanobrevibacter_filiformis",44.377533,30
"Methanobrevibacter_millerae",44.112076,37
"Methanobrevibacter_olleyae",48.381954,37
"Methanobrevibacter_oralis",42.604965,35
"Methanobrevibacter_ruminantium",43.47675,37
"Methanobrevibacter_smithii",43.182114,37
"Methanocaldococcus_fervens",82.85353,85
"Methanocaldococcus_infernus",82.68026,85
"Methanocaldococcus_jannaschii",82.784775,81.66666667
"Methanocaldococcus_villosus",83.110405,80
"Methanocaldococcus_vulcanius",80.63382,80
"Methanocella_arvoryzae",44.569305,45
"Methanocella_conradii",46.69525,50
"Methanocella_paludicola",45.065258,37
"Methanococcoides_burtonii",28.011543,21
