"species","predicted_OGT","OGT"
"Abiotrophia_defectiva",32.02347,37
"Acetivibrio_ethanolgignens",32.871246,37
"Acetobacter_cerevisiae",27.171982,28
"Acetobacter_aceti",26.22127,25.66666667
"Acetobacter_cibinongensis",27.190561,30
"Acetobacter_indonesiensis",27.585432,30
"Acetobacter_ghanensis",27.147898,30
"Acetobacter_malorum",27.204697,28
"Acetobacter_orientalis",27.241854,30
"Acetobacter_pasteurianus",27.083065,26.85714286
"Acetobacter_orleanensis",27.296204,28
"Acetobacter_pomorum",27.083065,30
"Acetobacter_senegalensis",28.54763,35
"Acetobacter_syzygii",27.559984,30
"Acetobacter_tropicalis",28.695896,30
"Acetobacterium_bakii",24.04528,20
"Acetobacterium_woodii",27.291538,30
"Acetohalobium_arabaticum",35.41247,37
"Acetonema_longum",36.586784,30
"Acholeplasma_laidlawii",29.050661,37
"Achromobacter_piechaudii",27.455084,30
"Achromobacter_spanius",27.323452,28
"Achromobacter_xylosoxidans",27.842875,30
"Acidaminococcus_fermentans",34.17378,37
"Acidaminococcus_intestini",33.517097,37
"Acidiferrobacter_thiooxydans",33.7458,30
"Acidimicrobium_ferrooxidans",46.75273,45
"Acidiphilium_cryptum",27.785248,30.75
"Acidiphilium_multivorum",27.78867,30
"Acidisphaera_rubrifaciens",30.943176,30
"Acidithiobacillus_caldus",34.688705,43
"Acidithiobacillus_ferrivorans",28.46561,30
"Acidithiobacillus_ferrooxidans",27.534292,27.41176471
"Acidithiobacillus_thiooxidans",26.507515,26.875
"Acidobacterium_capsulatum",27.293917,30
"Acidocella_aminolytica",29.141277,32.33333333
"Acidomonas_methanolica",27.898521,30
"Acidothermus_cellulolyticus",53.731575,55
"Acidovorax_avenae",26.260696,25
"Acidovorax_citrulli",26.260696,28
"Acidovorax_delafieldii",26.31385,29
"Actinomyces_oris",31.404512,37
"Acinetobacter_baumannii",28.550154,33.5
"Acinetobacter_baylyi",28.48227,30
"Acinetobacter_beijerinckii",28.228237,28
"Acinetobacter_bereziniae",28.550154,30
"Acinetobacter_bouvetii",28.550154,30
"Acinetobacter_brisouii",28.414383,28
"Acinetobacter_calcoaceticus",28.414383,29.5
"Acinetobacter_gerneri",28.550154,30
"Acinetobacter_guillouiae",28.550154,30
"Acinetobacter_haemolyticus",28.37336,28
"Acinetobacter_johnsonii",28.550154,28
"Acinetobacter_junii",28.550154,29.33333333
"Acinetobacter_lwoffii",28.414383,28
"Acinetobacter_parvus",28.550154,28
"Acinetobacter_radioresistens",28.550154,28
"Acinetobacter_rudis",29.929516,30
"Acinetobacter_schindleri",28.503754,28
"Acinetobacter_tandoii",28.124138,30
"Acinetobacter_tjernbergiae",27.855574,30
"Acinetobacter_towneri",28.170527,30
"Acinetobacter_ursingii",28.50009,28
"Acinetobacter_venetianus",28.550154,28
"Actinoalloteichus_hymeniacidonis",31.984879,28
"Actinobacillus_equuli",28.596994,37
"Actinobacillus_pleuropneumoniae",28.596994,37
"Actinobacillus_succinogenes",28.598509,33.5
"Actinobacillus_suis",28.596994,37
"Actinobacillus_ureae",28.08802,37
"Actinobaculum_massiliense",30.235893,37
"Actinobaculum_suis",29.427305,37
"Actinomyces_cardiffensis",32.47725,37
"Actinomyces_coleocanis",29.297398,37
"Actinomyces_europaeus",31.106428,37
"Actinomyces_georgiae",33.02736,37
"Actinomyces_graevenitzii",30.95964,37
"Actinomyces_hongkongensis",31.906528,37
"Actinomyces_massiliensis",31.26953,37
"Actinomyces_meyeri",33.17181,37
"Actinomyces_naeslundii",32.39832,37
"Actinomyces_neuii",30.360836,37
"Actinomyces_odontolyticus",32.454525,37
"Actinomyces_radicidentis",31.26953,37
"Actinomyces_turicensis",32.645966,37
"Actinomyces_urogenitalis",32.110546,37
"Actinomyces_viscosus",31.404512,37
"Actinoplanes_missouriensis",31.882816,28
"Actinoplanes_utahensis",32.07542,28
"Actinopolyspora_erythraea",39.991882,28
"Actinospica_robiniae",32.713665,28
"Actinosynnema_mirum",32.91559,28
"Actinotalea_fermentans",33.170383,30
"Adlercreutzia_equolifaciens",36.515312,37
"Advenella_kashmirensis",26.970652,28
"Advenella_mimigardefordensis",26.937746,28
"Aequorivita_sublithincola",11.928411,4
"Aeribacillus_pallidus",50.362015,57.5
"Aerococcus_christensenii",30.89652,37
"Aerococcus_sanguinicola",30.885382,37
"Aerococcus_urinae",32.10434,37
"Aerococcus_urinaeequi",29.977688,30
"Aerococcus_urinaehominis",31.677156,37
"Aerococcus_viridans",30.028893,32.33333333
"Aeromicrobium_erythreum",31.166395,35
"Aeromicrobium_marinum",30.354137,28
"Aeromonas_allosaccharophila",28.723986,28
"Aeromonas_enteropelogenes",27.522165,29.6
"Aeromonas_hydrophila",28.442158,29.6
"Aeromonas_media",28.458855,30
"Aeromonas_piscicola",28.723986,28
"Aeromonas_salmonicida",29.164217,27
"Aeromonas_schubertii",27.522165,30
"Aeromonas_veronii",27.522165,33.5
"Afipia_broomeae",26.101648,28
"Afipia_clevelandensis",26.1742,28
"Afipia_felis",26.536516,29
"Afipia_massiliensis",26.071638,28
"Aggregatibacter_actinomycetemcomitans",28.84085,37
"Aggregatibacter_segnis",28.742035,37
"Agreia_bicolorata",24.221119,24
"Akkermansia_muciniphila",28.175367,37
"Alcaligenes_faecalis",27.179846,30.88888889
"Alcanivorax_borkumensis",28.801998,29
"Alcanivorax_dieselolei",28.55779,28
"Alcanivorax_jadensis",27.66204,27.5
"Algibacter_lectus",22.703712,25
"Alicycliphilus_denitrificans",27.22564,28
"Alicyclobacillus_acidocaldarius",53.691788,55.625
"Alicyclobacillus_acidoterrestris",47.952072,47.14285714
"Alicyclobacillus_ferrooxydans",48.317947,30
"Alicyclobacillus_hesperidum",49.856754,50
"Aliivibrio_fischeri",28.678732,20.25
"Aliivibrio_logei",28.582106,16.125
"Aliivibrio_salmonicida",30.64087,15
"Aliivibrio_wodanis",28.633478,12.5
"Alishewanella_aestuarii",27.383898,28
"Alishewanella_agri",27.595009,28
"Alishewanella_jeotgali",27.441736,28
"Alistipes_finegoldii",27.856867,37
"Alistipes_indistinctus",27.019579,37
"Alistipes_putredinis",29.454361,37
"Alistipes_shahii",27.78768,37
"Alkaliphilus_oremlandii",37.120262,37
"Allochromatium_vinosum",30.041805,25
"Alloscardovia_omnicolens",29.780828,37
"Altererythrobacter_marensis",27.154388,28
"Alteromonas_macleodii",28.767534,28
"Alteromonas_stellipolaris",29.064693,20
"Aminobacter_aminovorans",25.419933,30
"Aminobacterium_colombiense",52.824112,37
"Aminomonas_paucivorans",53.82882,37
"Ammonifex_degensii",65.608444,70
"Amphibacillus_xylanus",31.6304,37
"Amycolatopsis_azurea",33.629368,28
"Amycolatopsis_halophila",34.835236,37
"Amycolatopsis_japonica",32.496212,28
