"species","OGT","train_test","predicted_OGT"
"acetobacter_aceti",25.6666666666667,"train",29.2553726878846
"acetobacter_cibinongensis",30,"train",30.0827039741821
"acetobacter_ghanensis",30,"test",32.9639393627791
"acetobacter_orientalis",30,"test",31.4401717755577
"acetobacter_orleanensis",28,"test",31.1337947443555
"acetobacter_pasteurianus",26.8571428571429,"train",32.462977204893
"acetobacter_pomorum",30,"train",31.9645960461798
"acetobacter_senegalensis",35,"train",31.6600531788638
"acetobacter_syzygii",30,"train",31.8620575472702
"acetobacter_tropicalis",30,"train",31.5342372273136
"acetobacterium_bakii",20,"train",28.6840609599853
"acetobacterium_woodii",30,"train",30.7978150983141
"acetohalobium_arabaticum",37,"train",36.2441982875783
"acetonema_longum",30,"test",34.9264643641551
"achromobacter_piechaudii",30,"train",29.6361575263565
"achromobacter_xylosoxidans",30,"train",29.6701293329745
"acidaminococcus_fermentans",37,"train",33.9972208785484
"acidaminococcus_intestini",37,"test",33.1376730664718
"acidiferrobacter_thiooxydans",30,"train",33.5984901014032
"acidilobus_saccharovorans",80,"train",89.4375424522189
"acidimicrobium_ferrooxidans",45,"train",42.7099385266029
"acidiphilium_multivorum",30,"train",27.4210195511696
"acidiplasma_cupricumulans",55,"train",51.6564262647348
"acidisphaera_rubrifaciens",30,"train",33.3277753068558
"acidithiobacillus_caldus",43,"train",40.3445383047973
"acidithiobacillus_ferrivorans",30,"train",35.6297011010824
"acidithiobacillus_thiooxidans",26.875,"train",32.850876706674
"acidobacterium_capsulatum",30,"train",33.6531786825423
"acidocella_aminolytica",32.3333333333333,"train",26.2442890032027
"acidomonas_methanolica",30,"train",30.8114094992061
"acidothermus_cellulolyticus",55,"train",43.7838173065826
"acidovorax_citrulli",28,"train",28.1642194423024
"acidovorax_temperans",28,"train",29.4452382535486
"acinetobacter_baumannii",33.5,"train",31.3482189274205
"acinetobacter_beijerinckii",28,"train",30.5645456361801
"acinetobacter_bereziniae",30,"test",28.8218685635885
"acinetobacter_bouvetii",30,"train",29.2659081136755
"acinetobacter_guillouiae",30,"train",28.7286574337239
"acinetobacter_gyllenbergii",37,"train",30.3491448659057
"acinetobacter_haemolyticus",28,"test",31.6420938534544
"acinetobacter_lwoffii",28,"train",33.2251975132858
"acinetobacter_pittii",30,"train",30.6611312876285
"acinetobacter_radioresistens",28,"test",33.7033426448581
"acinetobacter_rudis",30,"train",31.9042349159552
"acinetobacter_soli",28,"train",31.500731225453
"acinetobacter_towneri",30,"train",34.5692037661662
"acinetobacter_ursingii",28,"train",32.0167864914276
"actinoalloteichus_hymeniacidonis",28,"test",31.4304966284889
"actinobacillus_equuli",37,"train",31.3965007750196
"actinobacillus_pleuropneumoniae",37,"train",32.2200774317613
"actinobacillus_succinogenes",33.5,"train",33.9635792917006
"actinobacillus_ureae",37,"train",32.524263814027
"actinobaculum_massiliense",37,"train",37.17107751417
"actinobaculum_suis",37,"train",38.8525700144634
"actinomyces_cardiffensis",37,"train",34.4889158718733
"actinomyces_coleocanis",37,"test",39.4118409238224
"actinomyces_europaeus",37,"train",42.05231491029
"actinomyces_georgiae",37,"train",37.10181149973
"actinomyces_hongkongensis",37,"test",39.0938813771174
"actinomyces_johnsonii",37,"train",34.9439309069747
"actinomyces_massiliensis",37,"train",33.3285877713347
"actinomyces_meyeri",37,"train",36.3798614930476
"actinomyces_neuii",37,"train",39.1356846936295
"actinomyces_oris",37,"train",34.8748066403337
"actinomyces_radicidentis",37,"train",33.4212306502409
"actinomyces_turicensis",37,"train",35.8342557684511
"actinomyces_urogenitalis",37,"test",37.8713133890742
"actinomyces_viscosus",37,"train",34.9408816687917
"actinoplanes_missouriensis",28,"train",30.0159879302854
"actinoplanes_utahensis",28,"test",30.6297699751885
"actinopolyspora_erythraea",28,"train",36.9124087799047
"actinospica_robiniae",28,"train",26.6407266120161
"actinosynnema_mirum",28,"train",31.9584082963619
"actinotalea_fermentans",30,"train",38.9748959136951
"adlercreutzia_equolifaciens",37,"train",39.1530998288419
"advenella_mimigardefordensis",28,"train",28.4828781220336
"aerococcus_christensenii",37,"train",35.8450261728837
"aerococcus_urinaeequi",30,"train",31.7565965018605
"aerococcus_urinaehominis",37,"train",37.2543354994264
"aerococcus_viridans",32.3333333333333,"test",31.2322488544099
"aeromicrobium_erythreum",35,"train",39.3289016458613
"aeromicrobium_marinum",28,"train",33.5035390198505
"aeromonas_allosaccharophila",28,"train",29.2270974110538
"aeromonas_caviae",31.6666666666667,"train",28.5843021785195
"aeromonas_diversa",37,"train",28.0557530046088
"aeromonas_enteropelogenes",29.6,"train",29.860762992242
"aeromonas_hydrophila",29.6,"train",28.4216220537068
"aeromonas_media",30,"train",28.8222534039337
"aeromonas_molluscorum",28,"train",NA
"aeromonas_salmonicida",27,"test",29.0643368317692
"aeromonas_veronii",33.5,"train",29.5259896089094
"aeropyrum_camini",85,"test",86.7374318383752
"aeropyrum_pernix",90.75,"train",83.9333451973616
"afipia_broomeae",28,"test",28.9259172093184
"afipia_clevelandensis",28,"train",29.798920714289
"afipia_massiliensis",28,"train",29.3592922208462
"aggregatibacter_segnis",37,"train",35.2700542164188
"agreia_bicolorata",24,"train",27.0960990881851
"alcanivorax_dieselolei",28,"train",33.6344370316214
"alcanivorax_jadensis",27.5,"test",32.2396884701734
"algibacter_lectus",25,"train",24.2526197893324
"algoriphagus_marincola",35,"train",NA
"alicyclobacillus_acidocaldarius",55.625,"test",49.2792584509219
"alicyclobacillus_acidoterrestris",47.1428571428571,"train",37.6621766436016
"alicyclobacillus_ferrooxydans",30,"test",34.7002585337569
"alicyclobacillus_hesperidum",50,"train",41.9637368289731
"aliivibrio_logei",16.125,"train",23.5698780650348
"aliivibrio_salmonicida",15,"train",26.9278759631382
"aliivibrio_wodanis",12.5,"train",25.6662876495696
"alishewanella_aestuarii",28,"train",36.1726879092886
"alishewanella_agri",28,"train",35.955538620987
"alishewanella_jeotgali",28,"train",36.1029278366741
"alistipes_indistinctus",37,"test",36.6608712246922
"alistipes_putredinis",37,"train",40.0895133045778
"alkaliphilus_oremlandii",37,"train",35.5667633875965
"alloscardovia_omnicolens",37,"train",34.00063633641
"altererythrobacter_marensis",28,"test",27.944084060941
"alteromonas_macleodii",28,"train",25.5651909602667
"alteromonas_stellipolaris",20,"test",24.7882518390592
"aminobacter_aminovorans",30,"train",25.132536535632
"aminomonas_paucivorans",37,"train",39.7187462527506
"ammonifex_degensii",70,"test",65.4237225203653
"amphibacillus_xylanus",37,"test",38.6531375763834
"amycolatopsis_azurea",28,"train",28.9849109637783
"amycolatopsis_decaplanina",28,"train",NA
"amycolatopsis_halophila",37,"train",35.7780121618825
"amycolatopsis_japonica",28,"train",28.8411406138676
"amycolatopsis_keratiniphila",28,"train",28.4622738166673
"amycolatopsis_orientalis",28,"train",27.9905206753456
"amycolatopsis_regifaucium",28,"test",29.7735061994679
"amycolatopsis_vancoresmycina",28,"train",18.5119471856422
"anabaena_variabilis",26,"train",29.9751276230683
"anaerobaculum_hydrogeniformans",55,"train",53.0072836004669
"anaerobaculum_mobile",55,"train",54.0591274624874
"anaerococcus_hydrogenalis",37,"train",42.5331363349778
"anaerococcus_prevotii",37,"train",39.5041069911186
"anaerococcus_vaginalis",37,"train",43.3905886777931
"anaerofustis_stercorihominis",37,"train",41.2995516017271
"anaerolinea_thermophila",55,"train",48.8146305840977
"anaeromyxobacter_dehalogenans",28.2,"test",38.5337202775234
"anaerostipes_caccae",37,"train",33.8294539288544
"anaerotruncus_colihominis",37,"train",36.2325568122037
"anaerovibrio_lipolyticus",37,"train",36.6500902288383
"aneurinibacillus_aneurinilyticus",30,"train",36.8847438036553
"aneurinibacillus_migulanus",30,"train",37.013946236622
"anoxybacillus_amylolyticus",60,"train",44.6914778982661
"anoxybacillus_flavithermus",56.6666666666667,"train",45.4686546277813
