"genbank_accession","species","temperature_optimum","temperature_min","temperature_max","reported_temperature_optimum","reported_temperature_max","reported_temperature_min","partition_temperature"
"GCA_900156425","Haladaptatus litoreus",39.4591358308057,22.3689284488293,49.3327589740933,38.5,55,25,"train"
"GCA_014647415","Haloarcula sebkhae",37.8514897408893,19.3385588694368,47.7299504981873,40,55,25,"train"
"GCA_019599515","Halomicroarcula pellucida",42.1652985395532,24.1031328788384,52.9168870280799,40,55,25,"train"
"GCA_000379085","Halomicrobium katesii",39.9287098765851,22.7940629683001,51.0438730833943,38.5,50,35,"train"
"GCA_900114435","Halomicrobium zhouii",41.9449657852975,23.0399526833196,53.2182634256661,42,55,20,"train"
"GCA_014647155","Halarchaeum nitratireducens",43.8294026187596,25.8850440595033,54.7599396798726,45,55,18,"train"
"GCA_014647115","Halarchaeum rubridurum",41.4317396843532,23.3717539563748,52.2134844170537,42.5,50,20,"train"
"GCA_021233415","Halobacterium litoreum",42.6366087711022,25.531450578323,54.5661683719553,35,50,20,"train"
"GCA_009900715","Halococcus salsus",33.7114985695157,16.542962543562,44.5115097579382,39,45,20,"train"
"GCA_002952775","Halalkaliarchaeum desulfuricum",43.743180537688,24.8074461979087,53.2505809421078,43,50,37,"train"
"GCA_019823105","Halobaculum magnesiiphilum",37.0305834157077,19.428905332485,49.1786410100847,45,55,25,"train"
"GCA_019880245","Halobaculum roseum",37.2139824151919,19.2308931215503,49.204242310063,40,50,25,"train"
"GCA_007655485","Halobellus captivus",40.1181041784784,23.2853627837851,50.0292933693162,42,55,20,"train"
"GCA_004799685","Halobellus limi",44.9800361848066,27.8430179028313,55.3499886526325,45,55,25,"train"
"GCA_000336955","Haloferax larsenii",38.0123369441297,20.8355517521555,47.8904159684434,43.5,55,25,"train"
"GCA_000337815","Haloferax mucosum",34.0564785576813,15.968791250281,44.1642885932475,47.5,55,23,"train"
"GCA_000337095","Halogeometricum pallidum",42.4245298552152,24.7099607928575,52.0538584330904,30,45,25,"train"
"GCA_900112175","Halogeometricum rufum",38.9467034144698,21.0104013045516,49.7604305242614,41,55,25,"train"
"GCA_017874235","Halolamina salifodinae",42.068754209353,23.6425055499026,52.80504882751,39.5,45,20,"train"
"GCA_003605635","Halonotius pteroides",34.928726951176,19.0209874614945,45.2106796623993,45,45,25,"train"
"GCA_001462205","Haloparvum sedimenti",42.1054034305157,24.1780388834311,53.3240868728775,43.5,50,25,"train"
"GCA_900100875","Halopelagius longus",43.8024488769316,26.194911250203,53.8781043977966,48,55,20,"train"
"GCA_900107665","Haloplanus vescus",42.7034422790741,25.3603414520929,53.7237936129153,40,50,30,"train"
"GCA_001469955","Haloprofundus marisrubri",37.9348380966393,20.4324737357902,48.4567804450956,34,45,15,"train"
"GCA_001542905","Halorubrum aethiopicum",43.7412831910569,26.0588524320948,54.7436934828585,41,55,30,"train"
"GCA_000336995","Halorubrum aidingense",38.7558847799099,21.8211751389076,49.1541252043465,41,52,25,"train"
"GCA_000421805","Halorubrum ezzemoulense",41.8318929048023,24.8342022451486,52.0131372315697,38.5,50,22,"train"
"GCA_000337375","Halorubrum lipolyticum",39.0523481672057,23.1526377724951,49.758258300037,46.5,58,25,"train"
"GCA_900116205","Halostagnicola kamekurae",42.8897935967832,24.9108843950868,53.0593173798679,30,45,20,"test"
"GCA_002156705","Natrarchaeobaculum aegyptiacum",43.3281943307663,22.9932374920503,53.1453209908125,52,56,30,"test"
"GCA_000337175","Natrinema gari",41.0718449291674,23.3427969705118,51.7172152754922,38.5,60,20,"test"
"GCA_900110455","Natrinema salifodinae",45.812683013366,27.2444152800711,56.8209214518411,41,50,25,"test"
"GCA_009392895","Natronorubrum aibiense",42.6122823824438,23.6736506358518,53.6158775827033,45,50,20,"test"
"GCA_000337735","Natronorubrum sulfidifaciens",40.7051208870595,22.2926243937351,51.202303796124,45.5,55,20,"test"
"GCA_900215575","Natronoarchaeum philippinense",46.4974855498754,29.1096551035711,57.2010100790422,41,50,20,"train"
"GCA_003675855","Halostella salina",40.1806147327448,21.4421265882543,51.2776606238602,40,50,20,"train"
"GCA_000011005","Methanocella paludicola",50.6856138352393,36.5307274425521,58.5419179409835,36,40,25,"train"
"GCA_000063445","Methanocella_A arvoryzae",50.9904312567165,37.2513557698951,58.8255787035494,45,55,37,"train"
"GCA_001602375","Methanoculleus horonobensis",49.1886346811302,33.2367899516744,56.161376515224,39.5,45,25,"train"
"GCA_000017625","Methanoregula boonei",37.9906417450036,20.8149477272488,45.282775029484,36,40,10,"train"
"GCA_000327485","Methanoregula formicica",42.5683436765866,25.5625013953544,50.6567082639231,31.5,40,10,"train"
"GCA_003173335","Methanospirillum stamsii",38.2192126591242,20.2389803557617,43.9335900132437,25,37,5,"train"
"GCA_002153915","Methanonatronarchaeum thermophilum",46.4557565864614,23.8875886142057,55.4561457642134,50,60,30,"train"
"GCA_002243045","Methanolobus psychrotolerans",40.6354007310951,19.5995502051573,46.6706595579957,33.5,37,0,"train"
"GCA_023167465","Methanothermobacter_A tenebrarum",68.6516249532178,44.6095563833377,77.7787106154137,70,80,45,"train"
"GCA_004310395","Methanofervidicoccus abyssi",77.2756860812732,59.3831383810161,83.4684642032987,70,80,60,"train"
"GCA_000017185","Methanothermococcus_A aeolicus",54.5921712955618,35.8432363638328,60.3701209576132,45,55,20,"train"
"GCA_000725425","Palaeococcus pacificus",82.2705754988918,60.8034913769666,93.1972760425694,80,90,50,"test"
"GCA_001577775","Pyrococcus kukulkanii",95.7470386676922,80.8562317161531,104.022782454154,105,105,100,"test"
"GCA_900083515","Cuniculiplasma divulgatum",37.1008215569757,18.227267042392,43.6551237322653,38.5,48,10,"train"
"GCA_000591035","Aeropyrum camini",79.0338313416372,65.6191936206616,86.359216444513,85,97,70,"train"
"GCA_000011125","Aeropyrum pernix",80.8725774553235,67.3847843693603,89.0119449876846,92.5,100,70,"train"
"GCA_000317795","Caldisphaera lagunensis",66.7222583848516,45.3194405849036,72.7239644093575,74,80,45,"train"
"GCA_000020905","Desulfurococcus amylolyticus",82.8720450868287,69.5582834069626,88.9577881048969,85,87,65,"test"
"GCA_000186365","Desulfurococcus mucosus",80.4969906277475,65.7313498690978,87.9845279774674,85,85,85,"test"
"GCA_000092465","Staphylothermus hellenicus",82.235959078398,67.389217853084,90.9460648095251,85,90,70,"test"
"GCA_000264495","Thermogladius calderae",84.245280152545,68.939054187059,91.0389760154973,84,95,80,"test"
"GCA_000092185","Thermosphaera aggregans",82.1376259087456,66.1170141280135,88.3037230521282,85,90,67,"test"
"GCA_000258425","Fervidicoccus fontis",72.4963361615327,52.1090699602813,80.9946120419784,67.5,85,55,"train"
"GCA_000017945","Ignicoccus hospitalis",95.1571497303647,79.4260874745356,101.640243348917,90,98,73,"train"
"GCA_001481685","Ignicoccus islandicus",84.3667980821465,74.8595521454445,89.2203189970163,90,98,70,"train"
"GCA_000145985","Ignisphaera aggregans",87.6089264425539,74.81951439153,91.8315951939395,93.5,98,85,"train"
"GCA_001412615","Pyrodictium delaneyi",84.9169092689835,74.6230582890523,92.9638478535528,91,97,82,"train"
"GCA_020886315","Saccharolobus caldissimus",81.6973184436698,66.8337682242072,86.9085941890288,85,93,65,"train"
"GCA_014648235","Sulfodiicoccus acidiphilus",65.6003908072077,44.4885017151017,71.6041403490694,67.5,70,50,"train"
"GCA_900108185","Bryocella elongata",26.0034044300381,9.7895277352901,34.3192510129591,22,32,6,"train"
"GCA_000745965","Edaphobacter aggregans",28.5164985227697,11.6954957971577,35.7400357286549,30,37,15,"train"
"GCA_014640335","Edaphobacter dinghuensis",26.908851103157,10.0492784063234,34.9760866347597,30.5,33,10,"train"
"GCA_900114625","Granulicella_C pectinivorans",24.0657649705035,8.25853481988579,32.1750072779711,20,33,2,"train"
"GCA_900188085","Granulicella_C rosea",26.5164849162247,11.6216699312148,34.1402801069436,20,33,2,"train"
"GCA_000687145","Thermoanaerobaculum aquaticum",52.4781030130633,33.9719988888078,60.9404442789016,60,65,50,"test"
"GCA_001618865","Luteitalea pratensis",32.4846950299437,16.651027900656,40.4626129221344,25,36,0,"test"
"GCA_000023265","Acidimicrobium ferrooxidans",44.8769004522952,31.9211406274148,50.1637623125931,47.5,50,45,"train"
"GCA_003752405","Bogoriella caseilytica",30.8473585936581,13.1223138157615,40.004203202701,32.5,37,20,"train"
"GCA_009193175","Georgenia ruanii",34.8242732890392,19.3449163526913,44.4726616833855,28.6666666666667,37,10,"train"
"GCA_009193135","Oceanitalea satyanarayanai",32.2918154937967,16.9039258642385,41.7156065331828,36,40,4,"train"
